DNS Resolver Log Started: 2025-10-26T15:44:43.081679
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'wpad', 'timestamp': '2025-10-26T15:44:54.067400', 'round_trip_time': '0.3928s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'No authority section for delegation', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:12.809959', 'round_trip_time': '0.2868s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns5.googledomains.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:12.298435', 'round_trip_time': '0.3959s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns5.googledomains.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:11.586101', 'round_trip_time': '0.1936s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns5.googledomains.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:11.169720', 'round_trip_time': '0.2920s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns5.googledomains.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:10.559934', 'round_trip_time': '0.2877s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns5.googledomains.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:09.943290', 'round_trip_time': '0.2923s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns5.googledomains.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:09.429072', 'round_trip_time': '0.2835s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns5.googledomains.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:08.816468', 'round_trip_time': '0.2871s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns5.googledomains.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:08.302646', 'round_trip_time': '0.2875s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns5.googledomains.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns-cloud-a1.googledomains.com.', 'timestamp': '2025-10-26T15:46:07.692007', 'round_trip_time': '0.1934s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns5.googledomains.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'tonaci.com', 'timestamp': '2025-10-26T15:46:07.281365', 'round_trip_time': '0.3869s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns-cloud-a1.googledomains.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'youngsnetwork.it', 'timestamp': '2025-10-26T15:46:13.017729', 'round_trip_time': '0.1975s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: a.dns.it. @ Glue IP: 194.0.16.215', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'youngsnetwork.it', 'timestamp': '2025-10-26T15:46:13.323963', 'round_trip_time': '0.2975s', 'dns_server_ip': '194.0.16.215', 'response_or_referral': 'No authority section for delegation', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'gvowebcast.com', 'timestamp': '2025-10-26T15:46:13.566043', 'round_trip_time': '0.2033s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'gvowebcast.com', 'timestamp': '2025-10-26T15:46:13.836233', 'round_trip_time': '0.2537s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Delegation to: chloe.ns.cloudflare.com. @ Glue IP: 108.162.192.85', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'gvowebcast.com', 'timestamp': '2025-10-26T15:46:14.138548', 'round_trip_time': '0.2912s', 'dns_server_ip': '108.162.192.85', 'response_or_referral': 'Answer: 188.114.97.0', 'total_time_to_resolution': '0.7763s'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'isatap', 'timestamp': '2025-10-26T15:46:14.444541', 'round_trip_time': '0.2548s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'No authority section for delegation', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'aspiringwriter.ca', 'timestamp': '2025-10-26T15:46:14.755871', 'round_trip_time': '0.2703s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: d.ca-servers.ca. @ Glue IP: 45.142.220.101', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'aspiringwriter.ca', 'timestamp': '2025-10-26T15:46:15.062777', 'round_trip_time': '0.2995s', 'dns_server_ip': '45.142.220.101', 'response_or_referral': 'No authority section for delegation', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'heygal.net', 'timestamp': '2025-10-26T15:46:15.377927', 'round_trip_time': '0.2755s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'heygal.net', 'timestamp': '2025-10-26T15:46:15.592256', 'round_trip_time': '0.1965s', 'dns_server_ip': '192.55.83.30', 'response_or_referral': 'No authority section for delegation', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'mpskota.com', 'timestamp': '2025-10-26T15:46:15.884540', 'round_trip_time': '0.2522s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'mpskota.com', 'timestamp': '2025-10-26T15:46:16.185825', 'round_trip_time': '0.2903s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Delegation to: ns-739.awsdns-28.net. @ Glue IP: 205.251.193.199', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'mpskota.com', 'timestamp': '2025-10-26T15:46:16.495586', 'round_trip_time': '0.3012s', 'dns_server_ip': '205.251.193.199', 'response_or_referral': 'Answer: 20.192.98.161', 'total_time_to_resolution': '0.8635s'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ohdev.co.uk', 'timestamp': '2025-10-26T15:46:16.806541', 'round_trip_time': '0.2617s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: dns1.nic.uk. @ Glue IP: 213.248.216.1', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'cleo.ns.cloudflare.com.', 'timestamp': '2025-10-26T15:46:17.321195', 'round_trip_time': '0.2039s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'cleo.ns.cloudflare.com.', 'timestamp': '2025-10-26T15:46:17.625492', 'round_trip_time': '0.2910s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Delegation to: ns3.cloudflare.com. @ Glue IP: 162.159.0.33', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'cleo.ns.cloudflare.com.', 'timestamp': '2025-10-26T15:46:17.927839', 'round_trip_time': '0.2852s', 'dns_server_ip': '162.159.0.33', 'response_or_referral': 'Answer: 172.64.33.89', 'total_time_to_resolution': '0.8179s'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ohdev.co.uk', 'timestamp': '2025-10-26T15:46:17.110255', 'round_trip_time': '0.2889s', 'dns_server_ip': '213.248.216.1', 'response_or_referral': 'Timeout or invalid response', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'ohdev.co.uk', 'timestamp': '2025-10-26T15:46:18.133823', 'round_trip_time': '0.1977s', 'dns_server_ip': '172.64.33.89', 'response_or_referral': 'Answer: 51.89.253.246', 'total_time_to_resolution': '1.5893s'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'topilehtipuu.com', 'timestamp': '2025-10-26T15:46:18.452458', 'round_trip_time': '0.2625s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'domain-may-be-for-sale-at.edoms.biz.', 'timestamp': '2025-10-26T15:46:18.957218', 'round_trip_time': '0.2040s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: b.gtld.biz. @ Glue IP: 156.154.125.65', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'domain-may-be-for-sale-at.edoms.biz.', 'timestamp': '2025-10-26T15:46:19.263964', 'round_trip_time': '0.2940s', 'dns_server_ip': '156.154.125.65', 'response_or_referral': 'Delegation to: domain-may-be-for-sale-at.edoms.biz. @ Glue IP: 70.32.1.32', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Query Failed)', 'cache_status': 'MISS', 'domain_name': 'domain-may-be-for-sale-at.edoms.biz.', 'timestamp': '2025-10-26T15:46:21.279559', 'round_trip_time': '2.0038s', 'dns_server_ip': '70.32.1.32', 'response_or_referral': 'Timeout or invalid response', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'topilehtipuu.com', 'timestamp': '2025-10-26T15:46:18.746688', 'round_trip_time': '0.2713s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: domain-may-be-for-sale-at.edoms.biz.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'thereeftank.com', 'timestamp': '2025-10-26T15:46:21.620255', 'round_trip_time': '0.2946s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns-cloud-b1.googledomains.com.', 'timestamp': '2025-10-26T15:46:22.133856', 'round_trip_time': '0.3056s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:22.645499', 'round_trip_time': '0.2001s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:23.258835', 'round_trip_time': '0.3003s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:23.872370', 'round_trip_time': '0.2984s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:24.488011', 'round_trip_time': '0.2992s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:24.998838', 'round_trip_time': '0.1995s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:25.615152', 'round_trip_time': '0.3018s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:26.124208', 'round_trip_time': '0.1993s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:26.742052', 'round_trip_time': '0.3034s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:27.151230', 'round_trip_time': '0.2032s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:27.451859', 'round_trip_time': '0.2850s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns5.googledomains.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:26.940238', 'round_trip_time': '0.1868s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns5.googledomains.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:26.428536', 'round_trip_time': '0.2898s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns5.googledomains.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:25.915179', 'round_trip_time': '0.2880s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns5.googledomains.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:25.303834', 'round_trip_time': '0.2949s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns5.googledomains.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:24.789784', 'round_trip_time': '0.2874s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns5.googledomains.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:24.178030', 'round_trip_time': '0.2901s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns5.googledomains.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:23.560915', 'round_trip_time': '0.2857s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns5.googledomains.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns5.googledomains.com.', 'timestamp': '2025-10-26T15:46:22.948769', 'round_trip_time': '0.2889s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns5.googledomains.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'ns-cloud-b1.googledomains.com.', 'timestamp': '2025-10-26T15:46:22.434711', 'round_trip_time': '0.2843s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns5.googledomains.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'thereeftank.com', 'timestamp': '2025-10-26T15:46:21.819850', 'round_trip_time': '0.1870s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns-cloud-b1.googledomains.com.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'volksschule-neufahrn.de', 'timestamp': '2025-10-26T15:46:27.770364', 'round_trip_time': '0.2951s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: a.nic.de. @ Glue IP: 194.0.0.53', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'volksschule-neufahrn.de', 'timestamp': '2025-10-26T15:46:28.068409', 'round_trip_time': '0.2613s', 'dns_server_ip': '194.0.0.53', 'response_or_referral': 'No authority section for delegation', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'qingjiaopidaiji.com', 'timestamp': '2025-10-26T15:46:28.381351', 'round_trip_time': '0.2727s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'qingjiaopidaiji.com', 'timestamp': '2025-10-26T15:46:28.680311', 'round_trip_time': '0.2858s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'No authority section for delegation', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'jcwcn.com', 'timestamp': '2025-10-26T15:46:28.992528', 'round_trip_time': '0.2727s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1-domain-expired.35.net.', 'timestamp': '2025-10-26T15:46:29.504393', 'round_trip_time': '0.2403s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns1-domain-expired.35.net.', 'timestamp': '2025-10-26T15:46:29.792744', 'round_trip_time': '0.2735s', 'dns_server_ip': '192.55.83.30', 'response_or_referral': 'Delegation to: ns6.35.net. @ Glue IP: 118.123.253.132', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Query Failed)', 'cache_status': 'MISS', 'domain_name': 'ns1-domain-expired.35.net.', 'timestamp': '2025-10-26T15:46:31.815570', 'round_trip_time': '2.0059s', 'dns_server_ip': '118.123.253.132', 'response_or_referral': 'Timeout or invalid response', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'jcwcn.com', 'timestamp': '2025-10-26T15:46:29.253008', 'round_trip_time': '0.2505s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Failed to resolve next NS IP: ns1-domain-expired.35.net.', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'huhgmbh.com', 'timestamp': '2025-10-26T15:46:32.062986', 'round_trip_time': '0.2060s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'huhgmbh.com', 'timestamp': '2025-10-26T15:46:32.368953', 'round_trip_time': '0.2892s', 'dns_server_ip': '192.41.162.30', 'response_or_referral': 'Delegation to: nsg1.namebrightdns.com. @ Glue IP: 18.206.201.136', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'huhgmbh.com', 'timestamp': '2025-10-26T15:46:32.674741', 'round_trip_time': '0.2939s', 'dns_server_ip': '18.206.201.136', 'response_or_referral': 'Answer: 13.223.25.84', 'total_time_to_resolution': '0.8183s'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'redcrosseth.org', 'timestamp': '2025-10-26T15:46:32.988203', 'round_trip_time': '0.2723s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: a2.org.afilias-nst.info. @ Glue IP: 199.249.112.1', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'ns2.etsecureserver.com.', 'timestamp': '2025-10-26T15:46:33.503035', 'round_trip_time': '0.2077s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
