DNS Resolver Log Started: 2025-10-26T15:38:47.507270
{'step_of_resolution': 'Root', 'response_or_referral': 'No authority section for delegation', 'domain_name': 'wpad', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2558s', 'timestamp': '2025-10-26T15:38:55.963412', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'auqzzx.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2586s', 'timestamp': '2025-10-26T15:40:26.185837', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'No authority section for delegation', 'domain_name': 'auqzzx.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2794s', 'timestamp': '2025-10-26T15:40:26.482912', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'toaskfuture.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2561s', 'timestamp': '2025-10-26T15:40:26.798787', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: dns1.registrar-servers.com. @ Glue IP: 156.154.132.200', 'domain_name': 'toaskfuture.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2867s', 'timestamp': '2025-10-26T15:40:27.097256', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 119.18.54.195', 'domain_name': 'toaskfuture.com', 'cache_status': 'MISS', 'dns_server_ip': '156.154.132.200', 'round_trip_time': '0.1997s', 'timestamp': '2025-10-26T15:40:27.304280', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.7619s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: f.ext.nic.fr. @ Glue IP: 194.146.106.46', 'domain_name': 'cetsi.fr', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2534s', 'timestamp': '2025-10-26T15:40:27.613194', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns3.cetsi.info. @ Glue IP: 91.151.64.234', 'domain_name': 'cetsi.fr', 'cache_status': 'MISS', 'dns_server_ip': '194.146.106.46', 'round_trip_time': '0.3962s', 'timestamp': '2025-10-26T15:40:28.017620', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 91.151.64.24', 'domain_name': 'cetsi.fr', 'cache_status': 'MISS', 'dns_server_ip': '91.151.64.234', 'round_trip_time': '0.2114s', 'timestamp': '2025-10-26T15:40:28.235558', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.8763s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'probigbets.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2474s', 'timestamp': '2025-10-26T15:40:28.539929', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'No authority section for delegation', 'domain_name': 'probigbets.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2841s', 'timestamp': '2025-10-26T15:40:28.837284', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'bikesandtransit.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2551s', 'timestamp': '2025-10-26T15:40:29.153495', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns1.wordpress.com. @ Glue IP: 198.181.116.9', 'domain_name': 'bikesandtransit.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2866s', 'timestamp': '2025-10-26T15:40:29.454602', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 192.0.78.24', 'domain_name': 'bikesandtransit.com', 'cache_status': 'MISS', 'dns_server_ip': '198.181.116.9', 'round_trip_time': '0.2960s', 'timestamp': '2025-10-26T15:40:29.759982', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.8620s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'aqvr.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2599s', 'timestamp': '2025-10-26T15:40:30.074423', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: a.namestar.com. @ Glue IP: 89.117.23.47', 'domain_name': 'aqvr.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2885s', 'timestamp': '2025-10-26T15:40:30.376874', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 89.117.19.57', 'domain_name': 'aqvr.com', 'cache_status': 'MISS', 'dns_server_ip': '89.117.23.47', 'round_trip_time': '0.3996s', 'timestamp': '2025-10-26T15:40:30.784727', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.9708s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: a.dns.ripn.net. @ Glue IP: 193.232.128.6', 'domain_name': 'niceinternetmoney.ru', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2433s', 'timestamp': '2025-10-26T15:40:31.096028', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'No authority section for delegation', 'domain_name': 'niceinternetmoney.ru', 'cache_status': 'MISS', 'dns_server_ip': '193.232.128.6', 'round_trip_time': '0.2931s', 'timestamp': '2025-10-26T15:40:31.400419', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'No authority section for delegation', 'domain_name': 'isatap', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2470s', 'timestamp': '2025-10-26T15:40:31.706518', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'chonvn.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2109s', 'timestamp': '2025-10-26T15:40:31.968780', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'No authority section for delegation', 'domain_name': 'chonvn.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2352s', 'timestamp': '2025-10-26T15:40:32.217128', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'eugenbotnar.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2514s', 'timestamp': '2025-10-26T15:40:32.531773', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'No authority section for delegation', 'domain_name': 'eugenbotnar.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2570s', 'timestamp': '2025-10-26T15:40:32.800820', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'phi-pe.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2746s', 'timestamp': '2025-10-26T15:40:33.147841', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'No authority section for delegation', 'domain_name': 'phi-pe.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2841s', 'timestamp': '2025-10-26T15:40:33.447004', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'chuamatsua.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2549s', 'timestamp': '2025-10-26T15:40:33.761224', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: cora.ns.cloudflare.com. @ Glue IP: 108.162.194.195', 'domain_name': 'chuamatsua.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2185s', 'timestamp': '2025-10-26T15:40:33.991549', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'No authority section for delegation', 'domain_name': 'chuamatsua.com', 'cache_status': 'MISS', 'dns_server_ip': '108.162.194.195', 'round_trip_time': '0.1774s', 'timestamp': '2025-10-26T15:40:34.186206', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'pictures-thailand.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2091s', 'timestamp': '2025-10-26T15:40:34.456650', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns.nshosts.com. @ Glue IP: 66.96.142.111', 'domain_name': 'pictures-thailand.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1789s', 'timestamp': '2025-10-26T15:40:34.653469', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 66.96.149.1', 'domain_name': 'pictures-thailand.com', 'cache_status': 'MISS', 'dns_server_ip': '66.96.142.111', 'round_trip_time': '0.2576s', 'timestamp': '2025-10-26T15:40:34.919212', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.6721s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: dns1.nic.uk. @ Glue IP: 213.248.216.1', 'domain_name': '2brightsparks.co.uk', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1867s', 'timestamp': '2025-10-26T15:40:35.165560', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ns-343.awsdns-42.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1937s', 'timestamp': '2025-10-26T15:40:35.577737', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: g-ns-43.awsdns-42.com. @ Glue IP: 205.251.192.43', 'domain_name': 'ns-343.awsdns-42.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1765s', 'timestamp': '2025-10-26T15:40:35.767762', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 205.251.193.87', 'domain_name': 'ns-343.awsdns-42.com.', 'cache_status': 'MISS', 'dns_server_ip': '205.251.192.43', 'round_trip_time': '0.1970s', 'timestamp': '2025-10-26T15:40:35.974212', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.5968s'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Timeout or invalid response', 'domain_name': '2brightsparks.co.uk', 'cache_status': 'MISS', 'dns_server_ip': '213.248.216.1', 'round_trip_time': '0.1901s', 'timestamp': '2025-10-26T15:40:35.376863', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 99.86.240.15', 'domain_name': '2brightsparks.co.uk', 'cache_status': 'MISS', 'dns_server_ip': '205.251.193.87', 'round_trip_time': '0.2097s', 'timestamp': '2025-10-26T15:40:36.190565', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '1.2133s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: a.dns.ripn.net. @ Glue IP: 193.232.128.6', 'domain_name': 'astrumonline.ru', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1790s', 'timestamp': '2025-10-26T15:40:36.434322', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'opr-ns2.astrumnival.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1917s', 'timestamp': '2025-10-26T15:40:36.858078', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: opr-ns1.astrumnival.com. @ Glue IP: 195.211.130.10', 'domain_name': 'opr-ns2.astrumnival.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2083s', 'timestamp': '2025-10-26T15:40:37.083670', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 195.211.129.1', 'domain_name': 'opr-ns2.astrumnival.com.', 'cache_status': 'MISS', 'dns_server_ip': '195.211.130.10', 'round_trip_time': '0.2235s', 'timestamp': '2025-10-26T15:40:37.317682', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.6585s'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Timeout or invalid response', 'domain_name': 'astrumonline.ru', 'cache_status': 'MISS', 'dns_server_ip': '193.232.128.6', 'round_trip_time': '0.2164s', 'timestamp': '2025-10-26T15:40:36.660609', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 217.69.136.59', 'domain_name': 'astrumonline.ru', 'cache_status': 'MISS', 'dns_server_ip': '195.211.129.1', 'round_trip_time': '0.2281s', 'timestamp': '2025-10-26T15:40:37.558129', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '1.3032s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'blueridgelife.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1861s', 'timestamp': '2025-10-26T15:40:37.799870', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ns15.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2624s', 'timestamp': '2025-10-26T15:40:38.268494', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2995s', 'timestamp': '2025-10-26T15:40:38.880121', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2032s', 'timestamp': '2025-10-26T15:40:39.292389', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.3027s', 'timestamp': '2025-10-26T15:40:39.905791', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2008s', 'timestamp': '2025-10-26T15:40:40.417240', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2976s', 'timestamp': '2025-10-26T15:40:41.031165', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2362s', 'timestamp': '2025-10-26T15:40:41.544639', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1989s', 'timestamp': '2025-10-26T15:40:42.050765', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2083s', 'timestamp': '2025-10-26T15:40:42.468915', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.3037s', 'timestamp': '2025-10-26T15:40:43.183638', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2825s', 'timestamp': '2025-10-26T15:40:43.484629', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.3878s', 'timestamp': '2025-10-26T15:40:42.870540', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1877s', 'timestamp': '2025-10-26T15:40:42.255185', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2890s', 'timestamp': '2025-10-26T15:40:41.846154', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2557s', 'timestamp': '2025-10-26T15:40:41.299205', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2856s', 'timestamp': '2025-10-26T15:40:40.719964', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2904s', 'timestamp': '2025-10-26T15:40:40.208938', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2888s', 'timestamp': '2025-10-26T15:40:39.594048', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1901s', 'timestamp': '2025-10-26T15:40:39.081770', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ns15.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2836s', 'timestamp': '2025-10-26T15:40:38.569028', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ns15.domaincontrol.com.', 'domain_name': 'blueridgelife.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1781s', 'timestamp': '2025-10-26T15:40:37.994632', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'mwzip.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2900s', 'timestamp': '2025-10-26T15:40:43.795955', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: drew.ns.cloudflare.com. @ Glue IP: 108.162.193.160', 'domain_name': 'mwzip.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2609s', 'timestamp': '2025-10-26T15:40:44.068941', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 104.21.20.205', 'domain_name': 'mwzip.com', 'cache_status': 'MISS', 'dns_server_ip': '108.162.193.160', 'round_trip_time': '0.2217s', 'timestamp': '2025-10-26T15:40:44.302755', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.7972s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'gusbi.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2606s', 'timestamp': '2025-10-26T15:40:44.617944', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns1.aversus.com. @ Glue IP: 141.95.229.94', 'domain_name': 'gusbi.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2848s', 'timestamp': '2025-10-26T15:40:44.916118', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 185.145.195.19', 'domain_name': 'gusbi.com', 'cache_status': 'MISS', 'dns_server_ip': '141.95.229.94', 'round_trip_time': '0.2987s', 'timestamp': '2025-10-26T15:40:45.223928', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.8677s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'simternet.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2621s', 'timestamp': '2025-10-26T15:40:45.541634', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
