DNS Resolver Log Started: 2025-10-26T15:48:39.237830
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:48:49.790988', 'round_trip_time': '0.2284s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'wpad', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 172.247.103.2', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:09.867300', 'round_trip_time': '0.4021s', 'total_time_to_resolution': '0.9637s', 'dns_server_ip': '154.23.191.200', 'domain_name': 'gxjbsj.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:10.180869', 'round_trip_time': '0.2592s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'fmnara.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: c.dns.kr. @ Glue IP: 210.101.61.1', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:10.694528', 'round_trip_time': '0.2085s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ns11.nbx.co.kr.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns01.nbx.co.kr. @ Glue IP: 49.247.211.146', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:11.201385', 'round_trip_time': '0.4948s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '210.101.61.1', 'domain_name': 'ns11.nbx.co.kr.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 49.247.211.146', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:11.716634', 'round_trip_time': '0.5032s', 'total_time_to_resolution': '1.2355s', 'dns_server_ip': '49.247.211.146', 'domain_name': 'ns11.nbx.co.kr.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:10.480950', 'round_trip_time': '0.2852s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'fmnara.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 49.247.215.98', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:12.222798', 'round_trip_time': '0.4961s', 'total_time_to_resolution': '2.3015s', 'dns_server_ip': '49.247.211.146', 'domain_name': 'fmnara.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: a.dns.ripn.net. @ Glue IP: 193.232.128.6', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:12.534845', 'round_trip_time': '0.2530s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'pet-connect.ru', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns1.reg.ru. @ Glue IP: 176.99.13.12', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:12.842305', 'round_trip_time': '0.2930s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '193.232.128.6', 'domain_name': 'pet-connect.ru', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 194.58.112.174', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:13.148098', 'round_trip_time': '0.2876s', 'total_time_to_resolution': '0.8665s', 'dns_server_ip': '176.99.13.12', 'domain_name': 'pet-connect.ru', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:13.452161', 'round_trip_time': '0.2379s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'isatap', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:13.764361', 'round_trip_time': '0.2539s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'synchchaos.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns1.synchchaos.com. @ Glue IP: 203.161.61.102', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:14.066041', 'round_trip_time': '0.2885s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'synchchaos.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 203.161.61.102', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:14.476828', 'round_trip_time': '0.4022s', 'total_time_to_resolution': '0.9671s', 'dns_server_ip': '203.161.61.102', 'domain_name': 'synchchaos.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: d.edu-servers.net. @ Glue IP: 192.31.80.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:14.790432', 'round_trip_time': '0.2521s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'uca.edu', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns1.uca.edu. @ Glue IP: 161.31.3.12', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:15.090812', 'round_trip_time': '0.2860s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.31.80.30', 'domain_name': 'uca.edu', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 161.31.3.35', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:15.407350', 'round_trip_time': '0.3103s', 'total_time_to_resolution': '0.8694s', 'dns_server_ip': '161.31.3.12', 'domain_name': 'uca.edu', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: a2.org.afilias-nst.info. @ Glue IP: 199.249.112.1', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:15.812398', 'round_trip_time': '0.3385s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'oaister.org', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:16.324613', 'round_trip_time': '0.2060s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'michelle.ns.cloudflare.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns3.cloudflare.com. @ Glue IP: 162.159.0.33', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:16.633344', 'round_trip_time': '0.2879s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'michelle.ns.cloudflare.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 172.64.32.201', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:16.934571', 'round_trip_time': '0.2847s', 'total_time_to_resolution': '0.8202s', 'dns_server_ip': '162.159.0.33', 'domain_name': 'michelle.ns.cloudflare.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:16.114525', 'round_trip_time': '0.2900s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '199.249.112.1', 'domain_name': 'oaister.org', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 132.174.1.212', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:17.139422', 'round_trip_time': '0.1985s', 'total_time_to_resolution': '1.6660s', 'dns_server_ip': '172.64.32.201', 'domain_name': 'oaister.org', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: d0.asia.afilias-nst.asia. @ Glue IP: 199.254.30.1', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:17.450042', 'round_trip_time': '0.2371s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'chenghuavideo.asia', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:17.863759', 'round_trip_time': '0.2067s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ns-784.awsdns-34.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: g-ns-483.awsdns-34.net. @ Glue IP: 205.251.193.227', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:18.178617', 'round_trip_time': '0.2981s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'ns-784.awsdns-34.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 205.251.195.16', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:18.407832', 'round_trip_time': '0.2106s', 'total_time_to_resolution': '0.7565s', 'dns_server_ip': '205.251.193.227', 'domain_name': 'ns-784.awsdns-34.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:17.650780', 'round_trip_time': '0.1902s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '199.254.30.1', 'domain_name': 'chenghuavideo.asia', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:18.992178', 'round_trip_time': '0.5728s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '205.251.195.16', 'domain_name': 'chenghuavideo.asia', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: f.ext.nic.fr. @ Glue IP: 194.146.106.46', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:19.245805', 'round_trip_time': '0.1934s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'video-peche-poisson.fr', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:19.707855', 'round_trip_time': '0.4526s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '194.146.106.46', 'domain_name': 'video-peche-poisson.fr', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: a2.org.afilias-nst.info. @ Glue IP: 199.249.112.1', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:20.010511', 'round_trip_time': '0.2355s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'currencyrates.org', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:20.527038', 'round_trip_time': '0.2078s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'bethany.ns.cloudflare.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns3.cloudflare.com. @ Glue IP: 162.159.0.33', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:20.829547', 'round_trip_time': '0.2851s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'bethany.ns.cloudflare.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 162.159.38.31', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:21.130790', 'round_trip_time': '0.2872s', 'total_time_to_resolution': '0.8175s', 'dns_server_ip': '162.159.0.33', 'domain_name': 'bethany.ns.cloudflare.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:20.313310', 'round_trip_time': '0.2880s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '199.249.112.1', 'domain_name': 'currencyrates.org', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 104.21.23.70', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:21.437276', 'round_trip_time': '0.2995s', 'total_time_to_resolution': '1.6631s', 'dns_server_ip': '162.159.38.31', 'domain_name': 'currencyrates.org', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: f-dns.pl. @ Glue IP: 194.0.25.29', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:21.751472', 'round_trip_time': '0.2540s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'zpav.pl', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: dns1.onyx.pl. @ Glue IP: 83.238.107.254', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:22.060146', 'round_trip_time': '0.2959s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '194.0.25.29', 'domain_name': 'zpav.pl', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 83.238.107.112', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:22.360956', 'round_trip_time': '0.2941s', 'total_time_to_resolution': '0.8645s', 'dns_server_ip': '83.238.107.254', 'domain_name': 'zpav.pl', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:22.678781', 'round_trip_time': '0.2592s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'tawali.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:23.185419', 'round_trip_time': '0.2053s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ns69.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:23.802546', 'round_trip_time': '0.3049s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:24.413827', 'round_trip_time': '0.3030s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:25.028108', 'round_trip_time': '0.2995s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:25.541025', 'round_trip_time': '0.1971s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:26.153651', 'round_trip_time': '0.1957s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:26.666128', 'round_trip_time': '0.1974s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:27.078352', 'round_trip_time': '0.1990s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:27.588817', 'round_trip_time': '0.1981s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:28.203341', 'round_trip_time': '0.2984s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:28.505966', 'round_trip_time': '0.2905s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:27.891598', 'round_trip_time': '0.2882s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:27.382083', 'round_trip_time': '0.2857s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:26.866970', 'round_trip_time': '0.1906s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:26.458841', 'round_trip_time': '0.2892s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:25.946584', 'round_trip_time': '0.3950s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:25.332901', 'round_trip_time': '0.2903s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:24.716562', 'round_trip_time': '0.2908s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:24.103504', 'round_trip_time': '0.2869s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:23.487094', 'round_trip_time': '0.2876s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ns69.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ns69.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:22.974123', 'round_trip_time': '0.2826s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'tawali.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:28.818002', 'round_trip_time': '0.2906s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'dock2office.com', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:29.117891', 'round_trip_time': '0.2859s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'dock2office.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns3.dns.nl. @ Glue IP: 194.0.25.24', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:29.427578', 'round_trip_time': '0.2510s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'vlielandoutdoorcenter.nl', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns1.norisk-web01.nl. @ Glue IP: 185.232.249.41', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:29.734978', 'round_trip_time': '0.3013s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '194.0.25.24', 'domain_name': 'vlielandoutdoorcenter.nl', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 185.232.249.41', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:29.937303', 'round_trip_time': '0.1964s', 'total_time_to_resolution': '0.7614s', 'dns_server_ip': '185.232.249.41', 'domain_name': 'vlielandoutdoorcenter.nl', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:30.249726', 'round_trip_time': '0.2572s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'gregginn.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:30.764402', 'round_trip_time': '0.2184s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ns05.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:31.378710', 'round_trip_time': '0.3052s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:31.891999', 'round_trip_time': '0.2047s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:32.504645', 'round_trip_time': '0.3007s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
